symbol, name
ADS.DE,Adidas AG
ALV.DE,Allianz SE
BAS.DE,BASF SE
BAYN.DE,Bayer AG
BEI.DE,Beiersdorf AG
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
CBK.DE,Commerzbank AG
CON.DE,Continental AG
DAI.DE,Daimler AG
DB1.DE,Deutsche Boerse AG
DBK.DE,Deutsche Bank AG
DPW.DE,Deutsche Post AG
DTE.DE,Deutsche Telekom AG
EOAN.DE,E.ON SE
FME.DE,Fresenius Medical Care AG
FRE.DE,Fresenius SE & Co KGaA
HEI.DE,HeidelbergCement AG
HEN3.DE,Henkel AG
IFX.DE,Infineon Technologies AG
LHA.DE,Deutsche Lufthansa Aktiengesellschaft
LIN.DE,Linde Aktiengesellschaft
LXS.DE,Lanxess AG
MRK.DE,Merck KGaA
MUV2.DE,M
RWE.DE,RWE AG
SAP.DE,SAP AG
SDF.DE,K+S Aktiengesellschaft
SIE.DE,Siemens Aktiengesellschaft
TKA.DE,ThyssenKrupp AG
VOW3.DE,Volkswagen AG